,mst_id,det_id,date,dtv,values,weekday,day_type,yeartime
54997,4014,4014013,2019-07-18,25197,"[0.002659046711910148, 0.0011906179307060365, 0.000674683494066754, 0.0010715561376354328, 0.004722784458467278, 0.03726634123109894, 0.0742548716116998, 0.07877921974838274, 0.06925427630273445, 0.06238837956899631, 0.05500654839861888, 0.058618089455093864, 0.05496686113426202, 0.0620311941897845, 0.06762709846410286, 0.05806246775409771, 0.060046830971941106, 0.05679247529467794, 0.06000714370758423, 0.04488629598761757, 0.03131325157756876, 0.02639203079731714, 0.020875501051712507, 0.011112434019923007]",3,1.0,2.0
54998,4014,4014013,2019-07-17,24555,"[0.0024842190999796376, 0.0009366727754021584, 0.0004886988393402566, 0.0007330482590103849, 0.0040317654245571165, 0.03889228263082875, 0.07900631236000814, 0.07973936061901853, 0.07236815312563633, 0.06707391569945022, 0.057747912848706985, 0.04891060883730401, 0.05542659336184077, 0.05848096110771737, 0.05925473427000611, 0.06247200162899613, 0.06251272653227448, 0.06047648136835675, 0.05994705762573814, 0.04390144573406638, 0.030177153329260843, 0.02557523925880676, 0.018977804927713296, 0.010384850335980453]",2,1.0,2.0
54999,4014,4014013,2019-07-16,24703,"[0.0020240456624701455, 0.000890580091486864, 0.0010525037444844756, 0.0007691373517386553, 0.004614824110431931, 0.04141197425413917, 0.08241913937578432, 0.07845200987734283, 0.06582196494352913, 0.06327166740881675, 0.05230133991822856, 0.05246326357122617, 0.05468971379994333, 0.05687568311541109, 0.06387888110755778, 0.06489090393879286, 0.06173339270533943, 0.06225964457758167, 0.06521475124478808, 0.0459053556248229, 0.028458082014330244, 0.024005181556895922, 0.018297372788730115, 0.008298587216127596]",1,1.0,2.0
55000,4014,4014013,2019-07-15,23579,"[0.0029687433733406846, 0.0013571398278128843, 0.0007209805335255948, 0.0008906230120022053, 0.0041562407226769585, 0.045973111667161455, 0.08494847109716273, 0.08015607108019848, 0.07260698078798931, 0.05623648161499639, 0.05649094533271131, 0.04991729929174265, 0.05598201789728148, 0.06200432588320115, 0.059586920564909454, 0.064464141821112, 0.06488824801730353, 0.06522753297425675, 0.06174986216548624, 0.03893294881038212, 0.02705797531701938, 0.019975401840620893, 0.01543746554137156, 0.008270070825734764]",0,1.0,2.0
55001,4014,4014013,2019-07-14,15675,"[0.01492822966507177, 0.009441786283891546, 0.004784688995215311, 0.0040191387559808615, 0.0037639553429027113, 0.005996810207336523, 0.0077192982456140355, 0.01141945773524721, 0.01901116427432217, 0.038086124401913876, 0.05186602870813397, 0.06953748006379586, 0.08006379585326953, 0.07355661881977671, 0.08861244019138756, 0.08484848484848485, 0.07681020733652312, 0.07629984051036683, 0.06947368421052631, 0.06781499202551834, 0.05326953748006379, 0.04433811802232855, 0.02966507177033493, 0.01467304625199362]",6,2.0,2.0
55002,4014,4014013,2019-07-13,18263,"[0.00930843782511088, 0.005694573728303127, 0.002792531347533264, 0.0035591085801894543, 0.004435196846082243, 0.009363193341729178, 0.018014564967420467, 0.023928160762196792, 0.042764058478891746, 0.05913595794776324, 0.07616492361605431, 0.07983354322948037, 0.08076438701199146, 0.08399496249247111, 0.07819087773093139, 0.07736954498165691, 0.0697585281717133, 0.06833488473963752, 0.055850626950665276, 0.04457099052729562, 0.03356513168701747, 0.03027980068991951, 0.022175984230411214, 0.02015003011553414]",5,2.0,2.0
55003,4014,4014013,2019-07-12,24512,"[0.0030597258485639688, 0.0014278720626631854, 0.001550261096605744, 0.001550261096605744, 0.004406005221932115, 0.036471932114882505, 0.07298466057441254, 0.07987924281984334, 0.07355580939947781, 0.06221442558746736, 0.060174608355091384, 0.0606233681462141, 0.06788511749347259, 0.05682930809399478, 0.053320822454308095, 0.06294875979112272, 0.06005221932114883, 0.056054177545691905, 0.051607375979112274, 0.04087793733681462, 0.03231070496083551, 0.025212140992167103, 0.020561357702349868, 0.014441906005221931]",4,2.0,3.0
55004,4014,4014013,2019-07-11,25076,"[0.002751635029510289, 0.0011564842877651938, 0.0008773329079598022, 0.000957090445047057, 0.004586058382517148, 0.039998404849258255, 0.07927899186473121, 0.08035571861540916, 0.07206093475833467, 0.061572818631360667, 0.05718615409156165, 0.056667730100494494, 0.056109427340883714, 0.06368639336417291, 0.06300845429893125, 0.06268942415058223, 0.05519221566438028, 0.05678736640612538, 0.057704578082628806, 0.04267028234168129, 0.032102408677620035, 0.023608230977827403, 0.018423991067155848, 0.010567873664061254]",3,1.0,3.0
55005,4014,4014013,2019-07-10,24375,"[0.0022564102564102562, 0.0008615384615384615, 0.0006564102564102564, 0.0009846153846153846, 0.004225641025641025, 0.04016410256410256, 0.07827692307692308, 0.07811282051282051, 0.07327179487179487, 0.06153846153846154, 0.05419487179487179, 0.05181538461538462, 0.05649230769230769, 0.05969230769230769, 0.064, 0.06219487179487179, 0.05911794871794872, 0.06162051282051282, 0.06203076923076923, 0.04557948717948718, 0.031015384615384615, 0.023876923076923077, 0.017723076923076925, 0.010297435897435897]",2,1.0,3.0
55006,4014,4014013,2019-07-09,24944,"[0.0018040410519563823, 0.0010022450288646569, 0.0007617062219371391, 0.0009220654265554843, 0.005211674150096215, 0.05368024374599102, 0.07961834509300834, 0.06963598460551636, 0.06298107761385503, 0.06121712636305324, 0.06197883258499038, 0.06093649775497113, 0.05905227710070558, 0.05917254650416934, 0.06153784477228993, 0.06534637588197563, 0.06077613855035279, 0.06065586914688903, 0.05881173829377806, 0.039769082745349585, 0.027381334188582424, 0.022009300833867863, 0.01615618986529827, 0.00958146247594612]",1,2.0,2.0
55007,4014,4014013,2019-07-08,24002,"[0.0027914340471627366, 0.00133322223148071, 0.0008332638946754438, 0.0009165902841429881, 0.005082909757520206, 0.04666277810182485, 0.08049329222564787, 0.07874343804682943, 0.07245229564202983, 0.059995000416631944, 0.05453712190650779, 0.056911924006332805, 0.059411715690359135, 0.05674527122739772, 0.06549454212148988, 0.06791100741604866, 0.062203149737521876, 0.06716106991084077, 0.051037413548870925, 0.039580034997083575, 0.0259145071244063, 0.020123323056411967, 0.015373718856761937, 0.008290975752020665]",0,5.0,2.0
55008,4014,4014013,2019-07-07,15748,"[0.015367030734061468, 0.009715519431038861, 0.006540513081026162, 0.00381000762001524, 0.004508509017018034, 0.0055880111760223524, 0.007112014224028448, 0.008382016764033528, 0.02178054356108712, 0.03956057912115824, 0.05816611633223266, 0.06756413512827025, 0.07480314960629922, 0.07842265684531369, 0.083248666497333, 0.08216916433832867, 0.08108966217932435, 0.07645415290830582, 0.08147066294132588, 0.06648463296926593, 0.047180594361188724, 0.0404495808991618, 0.02635255270510541, 0.013779527559055118]",6,2.0,2.0
55009,4014,4014013,2019-07-06,18729,"[0.012707565807037215, 0.0058198515670884726, 0.0036307330877249186, 0.0032035880185808103, 0.0058198515670884726, 0.010945592396817768, 0.020182604517059107, 0.027337284425222916, 0.0458647017993486, 0.06460569170804635, 0.07282823428907043, 0.07362913129371562, 0.06375140156975813, 0.06545998184633456, 0.06941107373591757, 0.06748892092476907, 0.0644455123071173, 0.06764910032569811, 0.06524640931176251, 0.05883923327460089, 0.04554434299749052, 0.03342410166052646, 0.02893907843451332, 0.023226013134710875]",5,1.0,1.0
55010,4014,4014013,2019-07-05,24593,"[0.0039035497905908186, 0.0018704509413247671, 0.0006912536087504574, 0.0010165494246330256, 0.005286057008091733, 0.03594518765502379, 0.07245964298784206, 0.0767698125482861, 0.06501850119952832, 0.0611149514089375, 0.05786199325011182, 0.059122514536656776, 0.0669296141178384, 0.06440857154474851, 0.06676696620989712, 0.06335136014313016, 0.06184686699467328, 0.0483470906355467, 0.045338104338632945, 0.04049932907737974, 0.03525393404627333, 0.026430285040458665, 0.02256739722685317, 0.017200016264790795]",4,1.0,1.0
